country,period,n_art,deepseek,lexicon,lss,negativity,relations
Australia,1950-12-25,0,0,0,0,0,-3.2
Australia,1951-01-01,0,0,0,0,0,-3.2
Australia,1951-01-08,1,0,0.005,0.562615,0.7,-3.2
Australia,1951-01-15,0,0,0,0,0,-3.2
Australia,1951-01-22,2,0.025,0,0.5506395,0.7,-3.2
Australia,1951-01-29,1,0,0,0.665406,0.4,-3.2
Australia,1951-02-05,0,0,0,0,0,-3.2
Australia,1951-02-12,1,0,0,-0.256683,0.3,-3.2
Australia,1951-02-19,1,0.15,0,0.389239,0.85,-3.2
Australia,1951-02-26,0,0,0,0,0,-3.2
Australia,1951-03-05,0,0,0,0,0,-3.2
Australia,1951-03-12,0,0,0,0,0,-3.2
Australia,1951-03-19,2,0.005,0.00167224,0.8019055,0.75,-3.2
Australia,1951-03-26,0,0,0,0,0,-3.2
Australia,1951-04-02,0,0,0,0,0,-3.2
Australia,1951-04-09,0,0,0,0,0,-3.2
Australia,1951-04-16,1,0.02,0,1.526854,0.85,-3.2
Australia,1951-04-23,0,0,0,0,0,-3.2
Australia,1951-04-30,2,0,0,0.620007,0.575,-3.2
Australia,1951-05-07,0,0,0,0,0,-3.2
Australia,1951-05-14,0,0,0,0,0,-3.2
Australia,1951-05-21,0,0,0,0,0,-3.2
Australia,1951-05-28,0,0,0,0,0,-3.2
Australia,1951-06-04,0,0,0,0,0,-3.2
Australia,1951-06-11,0,0,0,0,0,-3.2
Australia,1951-06-18,0,0,0,0,0,-3.2
Australia,1951-06-25,1,0,0,-0.118094,0.1,-3.2
Australia,1951-07-02,0,0,0,0,0,-3.2
Australia,1951-07-09,0,0,0,0,0,-3.2
Australia,1951-07-16,1,0.05,0,-0.014173,0.7,-3.2
Australia,1951-07-23,2,0.06,0,-0.054013,0.475,-3.2
Australia,1951-07-30,0,0,0,0,0,-3.2
Australia,1951-08-06,0,0,0,0,0,-3.3
Australia,1951-08-13,0,0,0,0,0,-3.3
Australia,1951-08-20,1,0,0,0.790323,0.85,-3.3
Australia,1951-08-27,1,0,0,-0.011873,0.2,-3.3
Australia,1951-09-03,4,0.025,0,0.6493865,0.775,-3.3
Australia,1951-09-10,1,0,0.00502513,1.253036,0.75,-3.3
Australia,1951-09-17,0,0,0,0,0,-3.3
Australia,1951-09-24,0,0,0,0,0,-3.3
Australia,1951-10-01,0,0,0,0,0,-3.3
Australia,1951-10-08,2,0,0,0.614854,0.35,-3.3
Australia,1951-10-15,1,0.01,0,0.394555,0.85,-3.3
Australia,1951-10-22,0,0,0,0,0,-3.3
