iso3,country,lat,lon
AFG,Afghanistan,33.8187564261474,65.9259998029485
ALB,Albania,41.1348736888552,20.0518459081698
DZA,Algeria,28.0559934221189,2.63118841378347
ASM,American Samoa,-14.3044663174587,-170.718018876261
AND,Andorra,42.5422863943122,1.56052468030224
AGO,Angola,-12.2706139265484,17.5317833661526
ATA,Antarctica,-84.9385929497817,82.0706689239719
ATG,Antigua & Barbuda,17.2771040353237,-61.7946721656644
ARG,Argentina,-34.6839876712258,-64.7626148939194
ARM,Armenia,40.2873277734289,44.9383118011335
ABW,Aruba,12.520878060142,-69.9826639922195
AUS,Australia,-25.7641815523079,134.303829123934
AUT,Austria,47.5922934429587,14.1104300667048
AZE,Azerbaijan,40.2866618409577,47.5478416650239
BHS,Bahamas,24.2800187828111,-76.5901603326691
BHR,Bahrain,26.0419637770137,50.5419933558771
BGD,Bangladesh,23.8606661365356,90.2471041151871
BRB,Barbados,13.1814498077442,-59.5597851228128
BLR,Belarus,53.5195205570397,28.0149550948026
BEL,Belgium,50.6388949631127,4.6459381947024
BLZ,Belize,17.1982988706373,-88.7110676180793
BEN,Benin,9.63561223430696,2.32661464474629
BMU,Bermuda,32.3136780696577,-64.7546002277357
BTN,Bhutan,27.4121377959391,90.4021595987124
BOL,Bolivia,-16.6819842351508,-64.6984386196825
BIH,Bosnia & Herzegovina,44.1714743328823,17.7748915690575
BWA,Botswana,-22.1652447870996,23.808612894002
BRA,Brazil,-10.6390487673327,-53.2157339237413
VGB,British Virgin Islands,18.5258126951186,-64.4716169707361
BRN,Brunei,4.5196837365588,114.721966195915
BGR,Bulgaria,42.7712410497898,25.2091326237717
BFA,Burkina Faso,12.270726248786,-1.76113831212387
BDI,Burundi,-3.35921514381577,29.8752284170777
KHM,Cambodia,12.719494903029,104.905337571857
CMR,Cameroon,5.68116800316289,12.7339439676681
CAN,Canada,60.4177669843846,-96.5486267280136
CPV,Cape Verde,15.9533055158383,-23.9565440226583
CYM,Cayman Islands,19.4298043928061,-80.9134941900953
CAF,Central African Republic,6.57229916426693,20.4618329814897
TCD,Chad,15.2753594097694,18.6349974957477
CHL,Chile,-36.0762465539059,-71.0561908549587
CHN,China,36.6914066934515,103.378049539793
COL,Colombia,3.90348005339009,-73.0770322657414
COM,Comoros,-11.8779085683257,43.6816567859428
COG,Congo - Brazzaville,-0.836992413922511,15.2211423374053
COD,Congo - Kinshasa,-2.86548803140688,23.6377472380793
COK,Cook Islands,-21.2192739942122,-159.78724303864
CRI,Costa Rica,9.97613126505505,-84.1898695331854
HRV,Croatia,45.0758927694847,16.4010529281009
CUB,Cuba,21.6379353401667,-78.9870541294201
CUW,Curaçao,12.1955184113464,-68.9711179263023
CYP,Cyprus,35.0901300768409,33.2866749753665
CZE,Czechia,49.7379966812804,15.3194407099605
CIV,Côte d’Ivoire,7.62587836831142,-5.56910294273586
DNK,Denmark,55.9749821709948,10.0422117749111
DJI,Djibouti,11.7483067155297,42.5600788798995
DMA,Dominica,15.4394350091855,-61.3577005413533
DOM,Dominican Republic,18.8951155530384,-70.5052413564907
