resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Congo - Brazzaville,2026-07-20,0.0,0.0001,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Congo - Kinshasa,2026-07-20,0.0,0.0,-0.09,NORMAL,-0.09,NORMAL,0.29,NORMAL
Daily,deepseek,Cook Islands,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Costa Rica,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Croatia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Cuba,2026-07-20,0.0,0.0003,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Curaçao,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Cyprus,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Czechia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Côte d’Ivoire,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Denmark,2026-07-20,0.0,0.0004,-0.14,NORMAL,-0.14,NORMAL,9.98,RED
Daily,deepseek,Djibouti,2026-07-20,0.0,0.0001,-0.05,NORMAL,-0.05,NORMAL,0.0,NORMAL
Daily,deepseek,Dominica,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Dominican Republic,2026-07-20,0.0,0.0001,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Ecuador,2026-07-20,0.0,0.0,-0.09,NORMAL,-0.09,NORMAL,3.05,YELLOW
Daily,deepseek,Egypt,2026-07-20,0.0,0.0008,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,El Salvador,2026-07-20,0.0,0.0,-0.01,NORMAL,-0.01,NORMAL,0.0,NORMAL
Daily,deepseek,Equatorial Guinea,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Eritrea,2026-07-20,0.0,0.0002,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Estonia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Eswatini,2026-07-20,0.0,0.0008,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Ethiopia,2026-07-20,0.0,0.0001,-0.15,NORMAL,-0.15,NORMAL,8.4,RED
Daily,deepseek,Faroe Islands,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Fiji,2026-07-20,0.0,0.0005,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Finland,2026-07-20,0.0,0.0,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,France,2026-07-20,0.0,0.0022,-0.15,NORMAL,-0.15,NORMAL,0.0,NORMAL
Daily,deepseek,French Polynesia,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Gabon,2026-07-20,0.0,0.0,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Gambia,2026-07-20,0.0,0.0002,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Georgia,2026-07-20,0.0,0.0,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Germany,2026-07-20,0.0,0.001,-0.21,NORMAL,-0.21,NORMAL,0.0,NORMAL
Daily,deepseek,Ghana,2026-07-20,0.0,0.0001,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Gibraltar,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Greece,2026-07-20,0.0,0.0003,-0.18,NORMAL,-0.18,NORMAL,4.55,YELLOW
Daily,deepseek,Greenland,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Grenada,2026-07-20,0.0,0.0,-0.01,NORMAL,-0.01,NORMAL,0.0,NORMAL
Daily,deepseek,Guadeloupe,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Guam,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Guatemala,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Guinea,2026-07-20,0.0,0.0003,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Guinea-Bissau,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Guyana,2026-07-20,0.0,0.0,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Haiti,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Honduras,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Hungary,2026-07-20,0.0,0.0004,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Iceland,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,India,2026-07-20,0.0,0.0007,-0.17,NORMAL,-0.17,NORMAL,0.0,NORMAL
Daily,deepseek,Indonesia,2026-07-20,0.0,0.0012,-0.18,NORMAL,-0.18,NORMAL,0.0,NORMAL
Daily,deepseek,Iran,2026-07-20,0.0,0.0031,1.17,NORMAL,0.6,NORMAL,5.55,RED
Daily,deepseek,Iraq,2026-07-20,0.0,0.0001,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Ireland,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Israel,2026-07-20,0.0,0.0017,-0.16,NORMAL,-0.16,NORMAL,0.0,NORMAL
Daily,deepseek,Italy,2026-07-20,0.0,0.0006,-0.15,NORMAL,-0.15,NORMAL,0.0,NORMAL
Daily,deepseek,Jamaica,2026-07-20,0.0,0.0001,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
